P1,P2,T1,T2,Beta,Alpha,g_over_aRa,Difference
1000,925,298.76,294.4,5.3113,1,0.034146,5.2771
925,800,294.4,286.39,5.2585,1,0.034146,5.2243
800,700,286.39,285.46,41.105,1,0.034146,41.071
700,600,285.46,278.33,6.0944,1,0.034146,6.0602
600,500,278.33,269.46,5.6327,1,0.034146,5.5985
500,400,269.46,258.3,5.2751,1,0.034146,5.241
400,300,258.3,243.47,4.8643,1,0.034146,4.8302
300,250,243.47,233.12,4.1954,1,0.034146,4.1613
250,200,233.12,219.86,3.8104,1,0.034146,3.7762
200,150,219.86,205.98,4.4134,1,0.034146,4.3793
150,100,205.98,194.09,6.8193,1,0.034146,6.7851
100,70,194.09,192.67,48.632,1,0.034146,48.598
70,50,192.67,203.17,-6.3446,1,0.034146,-6.3788
50,30,203.17,214.51,-9.3998,1,0.034146,-9.4339
30,20,214.51,217.87,-26.111,1,0.034146,-26.145
20,10,217.87,225.07,-21.318,1,0.034146,-21.352
